#,M,r,rho(r),T(r),M(r),L(r),dL/dr,dLpp/dr,dLcno/dr,dlogP/dlogT,r/R,rho(r)/rhoc,T(r)/Tc,M(r)/M,L(r)/L,kappa,kappaHm,kappaff,kappaes,P,Pdeg,Pgas,Ppho,drho/dr,dT/dr,dM/dr,dL/dr_1
#,g,cm,g/cm^3,K,g,erg/s,erg/s/cm,erg/s/cm,erg/s/cm,cm^2/g,cm^2/g,cm^2/g,cm^2/g,erg/cm^3,erg/cm^3,erg/cm^3,erg/cm^3,g/cm^4,K/cm,g/cm,erg/s/cm,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.338e+33,70000,58.556,8.23544e+06,8.41306e+16,1.18811e+17,5.09189e+12,5.09185e+12,4.26541e+07,3.05939,1.16367e-06,1,1,6.2878e-17,5.28084e-16,3.68164,3.33355e+32,3.68164,0.34,7.33523e+16,8.78479e+15,6.45559E+16,1.16005E+13,-3.53081E-14,-2.46089E-09,3.6056E+12,5.09189E+12
,1.338e+33,140000,58.556,8.23544e+06,6.73045e+17,9.50487e+17,2.03676e+13,2.03674e+13,1.70616e+08,3.05939,2.32733e-06,1,1,5.03024e-16,4.22467e-15,3.68164,3.33355e+32,3.68164,0.34,7.33523e+16,8.78479e+15,6.45559E+16,1.16005E+13,-7.06163E-14,-4.92179E-09,1.44224E+13,2.03676E+13
,1.338e+33,490000,58.556,8.23544e+06,2.88568e+19,4.07521e+19,2.49503e+14,2.49501e+14,2.09005e+09,3.05939,8.14566e-06,1,1,2.15672e-14,1.81133e-13,3.68164,3.33355e+32,3.68164,0.34,7.33523e+16,8.78479e+15,6.45559E+16,1.16005E+13,-2.47157E-13,-1.72263E-08,1.76674E+14,2.49503E+14
,1.338e+33,2.24e+06,58.556,8.23544e+06,2.75679e+21,3.89319e+21,5.2141e+15,5.21405e+15,4.36778e+10,3.05939,3.72373e-05,1,1,2.06039e-12,1.73043e-11,3.68164,3.33355e+32,3.68164,0.34,7.33523e+16,8.78479e+15,6.45559E+16,1.16005E+13,-1.12986E-12,-7.87486E-08,3.69213E+15,5.2141E+15
,1.338e+33,1.099e+07,58.556,8.23544e+06,3.25576e+23,4.59785e+23,1.2551e+17,1.25509e+17,1.05137e+12,3.05939,0.000182695,0.999999,1,2.43331e-10,2.04363e-09,3.68164,3.33354e+32,3.68164,0.34,7.33522e+16,8.78479e+15,6.45558E+16,1.16004E+13,-5.54338E-12,-3.8636E-07,8.88743E+16,1.2551E+17
,1.338e+33,5.474e+07,58.5552,8.23539e+06,4.02319e+25,5.6815e+25,3.11366e+18,3.11363e+18,2.608e+13,3.0594,0.000909986,0.999987,0.999994,3.00688e-08,2.52528e-07,3.68169,3.33334e+32,3.68169,0.34,7.33508e+16,8.78461e+15,6.45546E+16,1.16002E+13,-2.76106E-11,-1.9244E-06,2.20488E+18,3.11366E+18
,1.338e+33,2.7349e+08,58.5371,8.23413e+06,5.0165e+27,7.08036e+27,7.76263e+19,7.76257e+19,6.48616e+14,3.05966,0.00454644,0.999678,0.99984,3.74926e-06,3.14704e-05,3.68287,3.32823e+32,3.68287,0.34,7.33164e+16,8.78008e+15,6.45248E+16,1.15931E+13,-1.37906E-10,-9.6121E-06,5.50205E+19,7.76263E+19
,1.338e+33,7.68844e+08,58.4071,8.22506e+06,1.11305e+29,1.56474e+29,6.08075e+20,6.0807e+20,4.99264e+15,3.06161,0.0127811,0.997457,0.99874,8.31874e-05,0.000695488,3.69134,3.29173e+32,3.69134,0.34,7.30697e+16,8.7476e+15,6.43106E+16,1.15421E+13,-3.86855E-10,-2.69699E-05,4.33862E+20,6.08075E+20
,1.338e+33,1.27471e+09,58.1476,8.20696e+06,5.05903e+29,7.0558e+29,1.64213e+21,1.64211e+21,1.30188e+16,3.06557,0.0211904,0.993025,0.996542,0.000378105,0.00313612,3.70833,3.21995e+32,3.70833,0.34,7.25783e+16,8.68291e+15,6.38839E+16,1.14408E+13,-6.38637E-10,-0.000044542,1.1873E+21,1.64213E+21
,1.338e+33,1.79875e+09,57.7455,8.17891e+06,1.41561e+30,1.95017e+30,3.18091e+21,3.18089e+21,2.38819e+16,3.07171,0.029902,0.986158,0.993136,0.00105801,0.008668,3.73486,3.11141e+32,3.73486,0.34,7.18196e+16,8.58307e+15,6.32253E+16,1.12852E+13,-8.95166E-10,-6.24766E-05,2.34784E+21,3.18091E+21
