L,T,M,R,T_c,rho_c
4.07E+21,9.62E+02,1.53E+29,8.14E+07,1.00E+06,4.04E+05
5.17E+21,1.00E+03,1.52E+29,8.50E+07,1.10E+06,3.53E+05
6.63E+21,1.04E+03,1.52E+29,8.89E+07,1.21E+06,3.09E+05
8.60E+21,1.08E+03,1.54E+29,9.34E+07,1.33E+06,2.69E+05
1.13E+22,1.12E+03,1.57E+29,9.84E+07,1.47E+06,2.35E+05
1.49E+22,1.17E+03,1.63E+29,1.04E+08,1.62E+06,2.06E+05
2.01E+22,1.21E+03,1.70E+29,1.11E+08,1.78E+06,1.80E+05
2.73E+22,1.26E+03,1.80E+29,1.18E+08,1.96E+06,1.57E+05
3.43E+22,1.31E+03,1.94E+29,1.30E+08,2.15E+06,1.25E+05
4.81E+22,1.36E+03,2.12E+29,1.41E+08,2.37E+06,1.09E+05
6.82E+22,1.42E+03,2.35E+29,1.52E+08,2.61E+06,9.52E+04
9.79E+22,1.47E+03,2.63E+29,1.65E+08,2.87E+06,8.32E+04
1.32E+23,1.53E+03,3.04E+29,1.87E+08,3.16E+06,6.62E+04
1.95E+23,1.59E+03,3.50E+29,2.05E+08,3.48E+06,5.78E+04
2.90E+23,1.65E+03,4.06E+29,2.25E+08,3.83E+06,5.05E+04
4.08E+23,1.71E+03,4.89E+29,2.59E+08,4.22E+06,4.02E+04
6.19E+23,1.77E+03,5.78E+29,2.86E+08,4.64E+06,3.51E+04
1.27E+24,1.92E+03,7.73E+29,3.52E+08,5.11E+06,3.53E+04
2.27E+24,2.06E+03,9.03E+29,4.09E+08,5.62E+06,3.86E+04
4.00E+24,2.21E+03,1.01E+30,4.54E+08,6.19E+06,4.23E+04
7.05E+24,2.29E+03,1.11E+30,4.61E+08,6.81E+06,4.63E+04
1.24E+25,2.35E+03,1.22E+30,4.64E+08,7.50E+06,5.07E+04
2.19E+25,2.37E+03,1.34E+30,4.61E+08,8.25E+06,5.55E+04
3.85E+25,2.43E+03,1.48E+30,4.69E+08,9.09E+06,6.07E+04
6.79E+25,2.46E+03,1.62E+30,4.71E+08,1.00E+07,6.65E+04
