L,T,M,R,T_c,rho_c
5.10E+21,1.04E+03,1.59E+29,8.01E+07,1.00E+06,4.41E+05
6.48E+21,1.08E+03,1.57E+29,8.35E+07,1.10E+06,3.85E+05
8.31E+21,1.12E+03,1.57E+29,8.74E+07,1.21E+06,3.36E+05
1.08E+22,1.16E+03,1.59E+29,9.17E+07,1.33E+06,2.94E+05
1.41E+22,1.21E+03,1.62E+29,9.66E+07,1.47E+06,2.56E+05
1.86E+22,1.26E+03,1.67E+29,1.02E+08,1.62E+06,2.24E+05
2.50E+22,1.31E+03,1.75E+29,1.08E+08,1.78E+06,1.96E+05
3.39E+22,1.36E+03,1.85E+29,1.16E+08,1.96E+06,1.71E+05
4.66E+22,1.41E+03,1.99E+29,1.24E+08,2.15E+06,1.49E+05
6.48E+22,1.47E+03,2.16E+29,1.33E+08,2.37E+06,1.30E+05
8.42E+22,1.52E+03,2.40E+29,1.49E+08,2.61E+06,1.04E+05
1.21E+23,1.58E+03,2.68E+29,1.62E+08,2.87E+06,9.06E+04
1.75E+23,1.65E+03,3.04E+29,1.76E+08,3.16E+06,7.92E+04
2.40E+23,1.71E+03,3.55E+29,2.00E+08,3.48E+06,6.30E+04
3.56E+23,1.78E+03,4.12E+29,2.20E+08,3.83E+06,5.51E+04
5.34E+23,1.84E+03,4.81E+29,2.43E+08,4.22E+06,4.81E+04
1.03E+24,1.98E+03,6.40E+29,2.97E+08,4.64E+06,4.47E+04
1.85E+24,2.13E+03,7.55E+29,3.48E+08,5.11E+06,4.88E+04
3.25E+24,2.35E+03,8.55E+29,4.16E+08,5.62E+06,5.35E+04
5.72E+24,2.49E+03,9.40E+29,4.34E+08,6.19E+06,5.86E+04
1.01E+25,2.45E+03,1.02E+30,4.00E+08,6.81E+06,6.41E+04
1.77E+25,2.51E+03,1.12E+30,4.07E+08,7.50E+06,7.02E+04
3.12E+25,2.61E+03,1.24E+30,4.24E+08,8.25E+06,7.69E+04
5.49E+25,2.75E+03,1.36E+30,4.49E+08,9.09E+06,8.42E+04
9.66E+25,2.62E+03,1.49E+30,4.09E+08,1.00E+07,9.22E+04
